"","user","tweet","HCCA_category","true_label","HCCA_label","true_category"
"1","Accounting jobs","#jobs4u #jobs ACCOUNTING CLERK, [Baton Rouge, #LA] http://t.co/YbwCFQK1ma #accounting","Advertisement",2,2,"Advertisement"
"2","TMJ-SAT Retail Jobs","This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.","Advertisement",2,2,"Advertisement"
"3","Dallas jobs","#jobs4u #jobs Construction Project Manager - Retail Division http://t.co/uxm5CfHf7m #DAL #dallas #TX","Advertisement",2,2,"Advertisement"
"4","Massachusetts Jobs","Recruiter needed in #Braintree, #MA https://t.co/0kBNf0C5lW #jobs #hiring","Advertisement",2,2,"Advertisement"
"5","☆Assata☆","@CTheLily Lol oh girl I aint goin down there anytime soon ....... not until one of these jobs have contacted me ..... I'm lookin for cheap","Personal",5,5,"Personal"
"6","Emerson","This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.","Personal",2,5,"Advertisement"
"7","Kansas City Jobs","#KansasCity #Jobs Java.lang. Integer/3438268---: Kansas City Accountemps, a Robert Half company, is the world'... http://t.co/qy7ztfgRbD","Advertisement",2,2,"Advertisement"
"8","WA Nursing Jobs","This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.","Advertisement",2,2,"Advertisement"
"9","Hospitality US","New #job opening at ABM Building Value in #Norwalk - #Cleaner #jobs http://t.co/AC7PhwQjJn","Advertisement",2,2,"Advertisement"
"10","Caleb Denney","@kbirge Stumbled upon you because the Colts retweeted you. Read your bio. What do you mean you want to bring tech jobs to Indiana? Curious","Personal",5,5,"Personal"
"11","Accounting US","Resume Library is looking for a #Tax #Partner in #, apply now! #jobs http://t.co/OUwqP7ukwl","Advertisement",2,2,"Advertisement"
"12","Baltimore Jobs","Professional Sales Person Jobs in Baltimore, MD #Baltimore #MD #jobs #jobsearch https://t.co/kM2Y5w3fw9","Advertisement",2,2,"Advertisement"
"13","TMJ-HOU Retail Jobs","This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.","Advertisement",2,2,"Advertisement"
"14","Jennifer Couch","The Walking Dead: How Changing Jobs Can Revive Your Career https://t.co/wU9Z3ptSl0 #accounting #newjob","Other",4,4,"Other"
"15","C Mack","RT @vijaybdixit If we have no identity apart from our jobs, we are truly vulnerable. - Dan Miller #quote","Personal",5,5,"Personal"
"16","Jobs Brentwood","Looking for a #Leadership #Development Training Specialist-TriStar Division #jobs http://t.co/t7eYtEc51B","Advertisement",2,2,"Advertisement"
"17","CPEC1031","How The Jobs Report And A Year-End Interest Rate Hike Could Affect Commercial Real Estate https://t.co/VABN26SfOa","Other",3,4,"News/Politics"
"18","Orlando Jobs","Application Support Engineer Peoplesoft Hcm Benefits Administration Jobs in Orlando, FL #Orlando #FL https://t.co/kFABOEhuob","Advertisement",2,2,"Advertisement"
"19","ZipRecruiter Jobs","Well, Inc. is #hiring Physical Therapist (PT), Home Health in Commerce, CA https://t.co/EHGFYWoHJa #jobs #Commerce #Healthcare","Advertisement",2,2,"Advertisement"
"20","Bridgeport Careers","#Healthcare #Job in #Bridgeport, CT: PSYCHIATRIC TECH I at Bridgeport Hospital http://t.co/nMvQIxhfKt #Jobs #TweetMyJobs","Advertisement",2,2,"Advertisement"
"21","TMJ-WA HRTA Jobs","Want to work in #CleElum, WA? View our latest opening: https://t.co/Xe0k3r3sAJ #Job #Hospitality #Jobs #Hiring #CareerArc","Advertisement",2,2,"Advertisement"
"22","Chicago Jobs","Sales Specialist Medical Jobs in Chicago, IL #Chicago #IL #jobs #jobsearch https://t.co/gZmfVLwlrz","Advertisement",2,2,"Advertisement"
"23","Neuvoo Cleveland","Labor Ready - Staff Positions is looking for a #Landscaper in #Cleveland, apply now! #jobs http://t.co/dilMFRil8g http://t.co/7pSFVO0EFY","Advertisement",2,2,"Advertisement"
"24","Jobs New Orleans","New #job opening at RNnetwork in #Gretna - #OR #Travel Nursing Opportunity to Gretna, LA!! #jobs https://t.co/0khHFAilYc","Advertisement",2,2,"Advertisement"
"25","BeeJobs.me 1M","#jobs #beejobs # #Senior BIDW SAS Developer: #CA-Oakland, RESPONSIBILITIES: Kforce has a client seeking a Sen... https://t.co/2uJSvqtkYJ","Advertisement",2,2,"Advertisement"
"26","IT Jobs Nashville","★ JOB ★ #hiring #ITJob #Job #Memphis - Sales Analyst - up to $45k http://t.co/7ukspLosT2 ☜ view details #jobs","Advertisement",2,2,"Advertisement"
"27","Jobs in Louisville","#Louisville #Job Sales Representative - Sales Manager - Improveit! Home Remodeling (New Albany, IN): Our Indus... https://t.co/pzFhMo1aTs","Advertisement",2,2,"Advertisement"
"28","Accounting New York","Check out this #job: #Alternative #Investment Fund Accountant III at Bank of New York Mellon in #NewYork #jobs http://t.co/LFVmu2gsA5","Advertisement",2,2,"Advertisement"
"29","Retail Jobs New York","Apply now to work for Global Brands Group as #Retail #Merchandise & Store Planner in #NewYork #jobs http://t.co/myv9f6wec9","Junk",2,1,"Advertisement"
